2007-01-01 01:36:44 status half-configured libaprutil1:armel 1.5.4-1
2007-01-01 01:36:44 status installed libaprutil1:armel 1.5.4-1
2007-01-01 01:36:44 configure libaprutil1-dbd-sqlite3:armel 1.5.4-1 <none>
2007-01-01 01:36:44 status unpacked libaprutil1-dbd-sqlite3:armel 1.5.4-1
2007-01-01 01:36:44 status half-configured libaprutil1-dbd-sqlite3:armel 1.5.4-1
2007-01-01 01:36:44 status installed libaprutil1-dbd-sqlite3:armel 1.5.4-1
2007-01-01 01:36:44 configure libaprutil1-ldap:armel 1.5.4-1 <none>
2007-01-01 01:36:44 status unpacked libaprutil1-ldap:armel 1.5.4-1
2007-01-01 01:36:44 status half-configured libaprutil1-ldap:armel 1.5.4-1
2007-01-01 01:36:44 status installed libaprutil1-ldap:armel 1.5.4-1
2007-01-01 01:36:44 configure liblua5.1-0:armel 5.1.5-7.1 <none>
2007-01-01 01:36:44 status unpacked liblua5.1-0:armel 5.1.5-7.1
2007-01-01 01:36:44 status half-configured liblua5.1-0:armel 5.1.5-7.1
2007-01-01 01:36:44 status installed liblua5.1-0:armel 5.1.5-7.1
2007-01-01 01:36:44 configure apache2-bin:armel 2.4.10-10+deb8u3 <none>
2007-01-01 01:36:44 status unpacked apache2-bin:armel 2.4.10-10+deb8u3
2007-01-01 01:36:44 status half-configured apache2-bin:armel 2.4.10-10+deb8u3
2007-01-01 01:36:44 status installed apache2-bin:armel 2.4.10-10+deb8u3
2007-01-01 01:36:45 configure apache2-utils:armel 2.4.10-10+deb8u3 <none>
2007-01-01 01:36:45 status unpacked apache2-utils:armel 2.4.10-10+deb8u3
2007-01-01 01:36:45 status half-configured apache2-utils:armel 2.4.10-10+deb8u3
2007-01-01 01:36:45 status installed apache2-utils:armel 2.4.10-10+deb8u3
2007-01-01 01:36:45 configure apache2-data:all 2.4.10-10+deb8u3 <none>
2007-01-01 01:36:45 status unpacked apache2-data:all 2.4.10-10+deb8u3
2007-01-01 01:36:45 status half-configured apache2-data:all 2.4.10-10+deb8u3
2007-01-01 01:36:45 status installed apache2-data:all 2.4.10-10+deb8u3
2007-01-01 01:36:45 configure apache2:armel 2.4.10-10+deb8u3 <none>
2007-01-01 01:36:45 status unpacked apache2:armel 2.4.10-10+deb8u3
2007-01-01 01:36:45 status unpacked apache2:armel 2.4.10-10+deb8u3
2007-01-01 01:36:45 status unpacked apache2:armel 2.4.10-10+deb8u3
2007-01-01 01:36:45 status unpacked apache2:armel 2.4.10-10+deb8u3
2007-01-01 01:36:45 status unpacked apache2:armel 2.4.10-10+deb8u3
2007-01-01 01:36:45 status unpacked apache2:armel 2.4.10-10+deb8u3
2007-01-01 01:36:45 status unpacked apache2:armel 2.4.10-10+deb8u3
2007-01-01 01:36:45 status unpacked apache2:armel 2.4.10-10+deb8u3
2007-01-01 01:36:45 status unpacked apache2:armel 2.4.10-10+deb8u3
2007-01-01 01:36:45 status unpacked apache2:armel 2.4.10-10+deb8u3
2007-01-01 01:36:45 status unpacked apache2:armel 2.4.10-10+deb8u3
2007-01-01 01:36:45 status unpacked apache2:armel 2.4.10-10+deb8u3
2007-01-01 01:36:45 status unpacked apache2:armel 2.4.10-10+deb8u3
2007-01-01 01:36:45 status unpacked apache2:armel 2.4.10-10+deb8u3
2007-01-01 01:36:45 status unpacked apache2:armel 2.4.10-10+deb8u3
2007-01-01 01:36:45 status unpacked apache2:armel 2.4.10-10+deb8u3
2007-01-01 01:36:45 status unpacked apache2:armel 2.4.10-10+deb8u3
2007-01-01 01:36:45 status unpacked apache2:armel 2.4.10-10+deb8u3
2007-01-01 01:36:45 status unpacked apache2:armel 2.4.10-10+deb8u3
2007-01-01 01:36:45 status unpacked apache2:armel 2.4.10-10+deb8u3
2007-01-01 01:36:46 status unpacked apache2:armel 2.4.10-10+deb8u3
2007-01-01 01:36:46 status unpacked apache2:armel 2.4.10-10+deb8u3
2007-01-01 01:36:46 status unpacked apache2:armel 2.4.10-10+deb8u3
2007-01-01 01:36:46 status unpacked apache2:armel 2.4.10-10+deb8u3
2007-01-01 01:36:46 status unpacked apache2:armel 2.4.10-10+deb8u3
